Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,72.08045977,71.89200995,66.64835165,68.31596564,"['trestbps', 'restecg', 'ca']"
Decision Tree,76.47126437,75.58961627,73.13186813,73.85840325,"['trestbps', 'restecg', 'thal']"
Decision Tree,69.03448276,77.23062558,53.35164835,61.29731939,"['trestbps', 'thalach', 'exang']"
Decision Tree,73.05747126,78.70512821,59.01098901,66.37685901,"['trestbps', 'thalach', 'oldpeak']"
Decision Tree,69.37931034,74.65612166,53.2967033,61.17970056,"['trestbps', 'thalach', 'slope']"
Decision Tree,70.05747126,68.45961718,70,68.07757214,"['trestbps', 'thalach', 'ca']"
Decision Tree,74.42528736,73.86706349,71.64835165,72.10328864,"['trestbps', 'thalach', 'thal']"
Decision Tree,68.70114943,72.06385281,54.83516484,61.28962532,"['trestbps', 'exang', 'oldpeak']"
Decision Tree,68.66666667,69.89319452,59.89010989,63.50402436,"['trestbps', 'exang', 'slope']"
Decision Tree,78.11494253,74.34144042,81.92307692,77.45419435,"['trestbps', 'exang', 'ca']"
Decision Tree,75.10344828,73.97979798,73.02197802,72.92012458,"['trestbps', 'exang', 'thal']"
Decision Tree,69.05747126,71.61394161,56.20879121,62.15572286,"['trestbps', 'oldpeak', 'slope']"
Decision Tree,73.72413793,71.98992674,70.87912088,70.68753877,"['trestbps', 'oldpeak', 'ca']"
Decision Tree,78.50574713,78.44284882,75.32967033,76.23028327,"['trestbps', 'oldpeak', 'thal']"
Decision Tree,74.73563218,73.32607588,72.36263736,72.08278848,"['trestbps', 'slope', 'ca']"
Decision Tree,77.47126437,77.49296537,73.07692308,74.75380368,"['trestbps', 'slope', 'thal']"
Decision Tree,77.12643678,71.85706914,84.01098901,76.99178477,"['trestbps', 'ca', 'thal']"
Decision Tree,59.5862069,65.75,29.67032967,39.82323232,"['chol', 'fbs', 'restecg']"
Decision Tree,69.70114943,71.94444444,62.69230769,65.99398946,"['chol', 'fbs', 'thalach']"
Decision Tree,70.05747126,83.57267732,46.75824176,58.21462227,"['chol', 'fbs', 'exang']"
Decision Tree,68.70114943,68.52003878,59.01098901,62.61266732,"['chol', 'fbs', 'oldpeak']"
Decision Tree,64.64367816,60.41175337,65.76923077,61.79004215,"['chol', 'fbs', 'slope']"
Decision Tree,70.02298851,70.68939394,62.96703297,65.4283567,"['chol', 'fbs', 'ca']"
Decision Tree,73.8045977,72.91463439,69.50549451,70.92976617,"['chol', 'fbs', 'thal']"
Decision Tree,69.70114943,71.46825397,63.40659341,66.15882462,"['chol', 'restecg', 'thalach']"
Decision Tree,69.01149425,80.83585859,46.75824176,57.64417762,"['chol', 'restecg', 'exang']"
Decision Tree,69.02298851,68.58732934,60.43956044,63.47043858,"['chol', 'restecg', 'oldpeak']"
Decision Tree,64.95402299,61.53514395,65.76923077,61.77886014,"['chol', 'restecg', 'slope']"
Decision Tree,69.67816092,69.60686862,63.62637363,65.11186103,"['chol', 'restecg', 'ca']"
Decision Tree,71.09195402,69.49516497,69.50549451,69.02613789,"['chol', 'restecg', 'thal']"
Decision Tree,70.72413793,81.97222222,49.61538462,60.86535661,"['chol', 'thalach', 'exang']"
Decision Tree,72.73563218,79.14600677,60.54945055,66.97748061,"['chol', 'thalach', 'oldpeak']"
Decision Tree,71.05747126,75.38092463,58.40659341,65.12796189,"['chol', 'thalach', 'slope']"
Decision Tree,71.74712644,70.93040293,64.50549451,66.77553928,"['chol', 'thalach', 'ca']"
Decision Tree,75.47126437,76.19387557,69.50549451,72.04998142,"['chol', 'thalach', 'thal']"
Decision Tree,72.09195402,80.84371184,53.24175824,63.05600959,"['chol', 'exang', 'oldpeak']"
Decision Tree,69.70114943,79.55176768,52.69230769,60.29223157,"['chol', 'exang', 'slope']"
Decision Tree,77.81609195,78.55056055,73.35164835,74.53783902,"['chol', 'exang', 'ca']"
Decision Tree,74.43678161,72.95254827,72.96703297,72.37843742,"['chol', 'exang', 'thal']"
Decision Tree,71.08045977,71.66322566,61.37362637,65.57298997,"['chol', 'oldpeak', 'slope']"
Decision Tree,73.73563218,79.06968032,59.94505495,66.68576042,"['chol', 'oldpeak', 'ca']"
Decision Tree,77.49425287,78.47931235,70.87912088,74.15331949,"['chol', 'oldpeak', 'thal']"
Decision Tree,73.06896552,77.51443001,60.82417582,66.90194298,"['chol', 'slope', 'ca']"
Decision Tree,73.77011494,74.41125541,68.13186813,70.3251653,"['chol', 'slope', 'thal']"
Decision Tree,76.18390805,83.5494228,60.16483516,69.48812347,"['chol', 'ca', 'thal']"
Decision Tree,69.34482759,71.72863248,61.20879121,64.790265,"['fbs', 'restecg', 'thalach']"
Decision Tree,70.37931034,78.4028749,52.52747253,61.54133306,"['fbs', 'restecg', 'exang']"
Decision Tree,66.98850575,66.21645022,58.2967033,61.28003848,"['fbs', 'restecg', 'oldpeak']"
Decision Tree,66.97701149,63.70619658,68.68131868,65.59624543,"['fbs', 'restecg', 'slope']"
Decision Tree,73.37931034,74.49825175,65.82417582,68.86338119,"['fbs', 'restecg', 'ca']"
Decision Tree,76.47126437,77.37762238,69.3956044,72.83987622,"['fbs', 'restecg', 'thal']"
Decision Tree,72.08045977,84.24206349,51.81318681,63.01320876,"['fbs', 'thalach', 'exang']"
Decision Tree,73.42528736,80.09838772,60.54945055,67.45155468,"['fbs', 'thalach', 'oldpeak']"
Decision Tree,72.40229885,78.81521257,58.40659341,66.0697737,"['fbs', 'thalach', 'slope']"
Decision Tree,69.70114943,71.35744321,62.14285714,65.25161769,"['fbs', 'thalach', 'ca']"
Decision Tree,72.40229885,70.91472416,70.16483516,69.97794357,"['fbs', 'thalach', 'thal']"
Decision Tree,71.73563218,79.49206349,54.67032967,63.36491553,"['fbs', 'exang', 'oldpeak']"
Decision Tree,68.37931034,76.3540626,47.52747253,57.57887648,"['fbs', 'exang', 'slope']"
Decision Tree,74.77011494,71.0198893,79.89010989,73.3612069,"['fbs', 'exang', 'ca']"
Decision Tree,75.7816092,75.98873349,70.16483516,72.28923203,"['fbs', 'exang', 'thal']"
Decision Tree,72.75862069,74.69322344,63.46153846,67.8957857,"['fbs', 'oldpeak', 'slope']"
Decision Tree,75.75862069,77.81135531,68.02197802,71.36589337,"['fbs', 'oldpeak', 'ca']"
Decision Tree,72.7816092,72.13969364,67.30769231,69.33332327,"['fbs', 'oldpeak', 'thal']"
Decision Tree,73.06896552,81.22638473,57.96703297,65.24662965,"['fbs', 'slope', 'ca']"
Decision Tree,75.45977011,75.86213133,70.16483516,72.26545791,"['fbs', 'slope', 'thal']"
Decision Tree,78.47126437,77.5787962,75.27472527,76.17626626,"['fbs', 'ca', 'thal']"
Decision Tree,70.72413793,80.86111111,50.38461538,61.2557595,"['restecg', 'thalach', 'exang']"
Decision Tree,72.73563218,79.14600677,60.54945055,66.97748061,"['restecg', 'thalach', 'oldpeak']"
Decision Tree,70.03448276,75.23737374,58.40659341,64.1380555,"['restecg', 'thalach', 'slope']"
Decision Tree,73.09195402,75.32994525,65.87912088,69.09512516,"['restecg', 'thalach', 'ca']"
Decision Tree,75.08045977,78.38185426,67.14285714,71.34587377,"['restecg', 'thalach', 'thal']"
Decision Tree,72.4137931,80.46275946,55.43956044,64.06115262,"['restecg', 'exang', 'oldpeak']"
Decision Tree,66.68965517,72.12065712,51.86813187,58.147077,"['restecg', 'exang', 'slope']"
Decision Tree,75.43678161,74.38028638,72.36263736,72.72586035,"['restecg', 'exang', 'ca']"
Decision Tree,72.3908046,71.91641984,68.40659341,69.22544621,"['restecg', 'exang', 'thal']"
Decision Tree,72.42528736,74.35437112,62.74725275,67.25922656,"['restecg', 'oldpeak', 'slope']"
Decision Tree,75.40229885,77.12753913,66.48351648,70.23083283,"['restecg', 'oldpeak', 'ca']"
Decision Tree,77.8045977,79.64652015,70.16483516,74.14855759,"['restecg', 'oldpeak', 'thal']"
Decision Tree,73.75862069,81.47005772,58.62637363,65.94503736,"['restecg', 'slope', 'ca']"
Decision Tree,77.45977011,82.56074481,65.82417582,72.45527406,"['restecg', 'slope', 'thal']"
Decision Tree,77.47126437,73.81697224,80.49450549,76.4718787,"['restecg', 'ca', 'thal']"
Decision Tree,75.10344828,78.33108558,66.37362637,71.01183644,"['thalach', 'exang', 'oldpeak']"
Decision Tree,69.35632184,75.4318394,56.15384615,62.54187967,"['thalach', 'exang', 'slope']"
Decision Tree,77.09195402,75.44871795,76.04395604,75.13778548,"['thalach', 'exang', 'ca']"
Decision Tree,73.7816092,78.59894272,65.05494505,68.69336219,"['thalach', 'exang', 'thal']"
Decision Tree,72.06896552,78.16620879,59.83516484,66.09007816,"['thalach', 'oldpeak', 'slope']"
Decision Tree,72.42528736,71.26388163,68.79120879,67.59757447,"['thalach', 'oldpeak', 'ca']"
Decision Tree,71.74712644,70.81593651,68.62637363,68.96297944,"['thalach', 'oldpeak', 'thal']"
Decision Tree,72.74712644,68.77053429,76.81318681,72.07158055,"['thalach', 'slope', 'ca']"
Decision Tree,74.09195402,72.00523088,73.84615385,72.26993761,"['thalach', 'slope', 'thal']"
Decision Tree,79.50574713,86.1504884,68.02197802,75.14608802,"['thalach', 'ca', 'thal']"
Decision Tree,72.43678161,79.50577201,54.78021978,64.24334651,"['exang', 'oldpeak', 'slope']"
Decision Tree,77.8045977,81.88628039,67.30769231,71.88760869,"['exang', 'oldpeak', 'ca']"
